"FJuanGuevara_Amor_1" "FJuanGuevara_Amor_2" "FJuanGuevara_Amor_3" "SJ_Empeños2_1" "SJ_Empeños2_2" "SJ_Empeños2_3" "SJ_Empeños2_4" "SJ_Empeños2_5" "SJ_Empeños2_6" "SJ_Empeños2_7" "SJ_Empeños2_8" "SJ_Empeños2_9" "SJ_Empeños2_10" "SJ_Empeños2_11" "SJ_Empeños2_12" "SJ_Empeños2_13" "SJ_Empeños2_14" "SJ_Empeños2_15" "SJ_Empeños2_16" "SJ_Empeños2_17" "SJ_Empeños2_18" "SJ_Empeños2_19" "SJ_Empeños2_20" "SJ_Empeños2_21" "SJ_Empeños2_22"
"has" 0.1 0.1 0 0.4 0 0.1 0.2 0 0.4 0.1 0 0.1 0.1 0.2 0.3 0 0 0 0.4 0.4 0 0 0.1 0.1 0
"vuestro" 0 0.3 0.4 0 0.1 0 0.1 0 0.1 0 0 0.1 0 0.3 0 0.3 0.2 0.1 0 0 0.2 0 0.5 0.4 0
"rodrigo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.5 0 0 0.4 0 0.2 0.3 0.6 0.3
"mal" 0.1 0 0.1 0.1 0.2 0 0.1 0 0 0.3 0 0 0.5 0.2 0.3 0.1 0.1 0.1 0.1 0 0.2 0 0.1 0.2 0.1
"juan" 0 0 0 0 0 0.2 0.4 0.1 0.2 0.4 0.3 0 0 0 0.2 0.4 0.1 0 0 0 0 0.1 0 0.1 0.3
"otro" 0 0 0.1 0 0 0.2 0.2 0.1 0.1 0 0.2 0 0.2 0.3 0 0.1 0.2 0.2 0 0.3 0.3 0.1 0.1 0 0.1
"tanto" 0.2 0.3 0.1 0 0 0.2 0.2 0.3 0.1 0.2 0.1 0.1 0.1 0 0.2 0 0.1 0.1 0 0.3 0 0 0 0.1 0.1
"vida" 0.4 0.1 0 0 0 0 0.1 0 0.2 0.1 0.3 0 0 0 0 0.3 0.4 0.1 0.3 0 0.1 0.1 0.1 0.2 0
"ay" 0 0 0 0 0 0.1 0.3 0.3 0.3 0.3 0.1 0 0.1 0 0.3 0 0.3 0.2 0.1 0.1 0 0.2 0 0 0
"honor" 0 0 0 0.1 0 0.1 0 0.1 0.1 0 0.1 0 0 0 0 0.2 0.1 0 0.4 0 0.1 0.3 0.9 0.1 0.1
"tiene" 0.4 0.2 0 0 0.4 0 0.2 0 0.2 0.1 0 0 0.2 0 0.1 0.3 0 0.1 0 0.1 0.1 0.1 0 0 0.2
"aun" 0.1 0.1 0 0.1 0.3 0.3 0 0.1 0 0.1 0.2 0.3 0.1 0.1 0 0 0.3 0.2 0.1 0.1 0.1 0 0 0 0
"cielo" 0.1 0.1 0 0 0 0 0 0 0.1 0.3 0.1 0 0.1 0 0.2 0.5 0 0.2 0.1 0.2 0 0 0.2 0.2 0.2
"era" 0.1 0 0 0 0 0.1 0 0.6 0.3 0.2 0.2 0.2 0.1 0.1 0.1 0 0 0.4 0 0 0 0.1 0 0.1 0
"eso" 0 0.1 0 0.1 0 0.1 0.1 0 0 0.1 0.3 0.2 0 0 0.2 0.2 0.3 0.1 0.2 0.1 0.2 0.1 0 0.1 0.1
"fortuna" 0 0.2 0.4 0.7 0.5 0.1 0.1 0 0 0 0 0 0.1 0.3 0.1 0 0.1 0 0 0 0 0 0 0 0
"han" 0.1 0.3 0.3 0 0 0 0.2 0 0.2 0 0.1 0.1 0 0.1 0 0.1 0 0.3 0 0.4 0.1 0.1 0.2 0 0
"puede" 0.1 0.2 0 0.3 0.2 0.1 0 0 0.1 0.3 0 0 0 0.1 0.3 0.1 0.3 0 0.2 0.1 0 0 0.2 0 0
"amante" 0.3 0 0.1 0 0 0.3 0.2 0.1 0.1 0.4 0.3 0.2 0 0.1 0.1 0.1 0 0 0.1 0 0 0 0 0.1 0
"atención" 0 0 0 1.2 0 0 0 0.3 0 0.1 0.2 0 0.2 0.1 0 0.2 0 0 0 0.1 0.1 0 0 0 0
"caso" 0.1 0.1 0 0 0.4 0 0.2 0.2 0.1 0 0 0 0 0 0.3 0.2 0.3 0 0.1 0.1 0.3 0 0 0 0.1
"celia" 0 0 0 0 0 0.2 0.6 0 0 0.1 0.3 0 0 0.1 0.3 0 0 0 0.5 0 0.1 0.1 0 0.1 0.1
"dos" 0.1 0.1 0 0.2 0 0.2 0.1 0.4 0 0.1 0.5 0 0 0 0 0 0 0.3 0 0 0.2 0.2 0 0 0.1
"mejor" 0 0.1 0 0.2 0.2 0.1 0 0 0 0 0 0 0.3 0 0.1 0.2 0.1 0.4 0.2 0 0.2 0.1 0.1 0.1 0
"sois" 0 0 0 0 0 0 0.1 0 0 0.1 0.1 0.9 0 0.2 0.2 0.1 0 0.1 0 0 0.3 0.1 0.1 0 0.1
"antes" 0 0 0 0 0.2 0 0.1 0 0.3 0.1 0 0 0.1 0.1 0.1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1
"luego" 0.1 0.2 0 0 0.2 0.2 0 0 0 0.1 0 0 0.4 0 0.2 0 0.1 0 0 0.2 0 0.4 0.1 0.1 0
"mérito" 0 0.1 0.1 1.2 0.6 0.2 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0 0 0
"oh" 0 0.4 0 0.1 0.3 0.1 0 0 0.4 0.1 0.1 0 0 0 0 0.1 0 0 0 0.2 0.1 0.1 0 0.3 0
"quiere" 0.1 0.2 0 0.2 0.1 0 0.1 0 0.1 0.1 0 0.1 0.1 0.1 0.1 0 0 0 0.1 0 0.3 0.2 0.1 0.2 0.1
"razón" 0.1 0 0.1 0.4 0.3 0.1 0 0 0 0 0.2 0.2 0.1 0.1 0.2 0.1 0 0.1 0 0 0 0 0 0.1 0.2
"sé" 0 0.1 0 0 0 0.1 0.3 0 0.4 0 0 0.2 0.1 0 0.1 0.2 0.2 0.1 0 0.1 0.3 0 0 0 0.1
